# clock,solitary,recruiter,recruitee
1000,0,0,0
2000,0,0,0
3000,0,0,0
4000,0,0,0
5000,0,0,0
6000,0,0,1
7000,1,0,4
8000,1,1,4
9000,1,1,5
10000,1,1,5
11000,1,1,6
12000,1,1,6
13000,1,2,6
14000,1,3,7
15000,1,3,7
16000,1,3,7
17000,1,3,7
18000,1,4,9
19000,1,6,9
20000,1,6,9
21000,1,6,12
22000,1,7,13
23000,1,7,14
24000,1,7,14
25000,1,7,16
26000,1,9,18
27000,1,10,20
28000,1,10,20
29000,1,10,22
30000,1,10,23
31000,1,12,23
32000,1,13,24
33000,1,13,26
34000,1,15,26
35000,1,15,27
36000,1,15,27
37000,1,15,28
38000,1,17,29
39000,1,17,31
40000,1,17,32
41000,1,19,33
42000,1,19,34
43000,1,19,35
44000,2,19,35
45000,2,20,35
46000,3,21,36
47000,4,21,37
48000,4,22,37
49000,4,22,39
50000,5,23,39
51000,5,23,39
52000,5,24,39
53000,5,24,40
54000,6,24,40
55000,6,25,40
56000,7,25,41
57000,7,26,41
58000,8,27,41
59000,8,27,41
60000,8,28,43
61000,8,28,45
62000,8,28,46
63000,8,28,46
64000,8,30,46
65000,9,30,46
66000,9,30,47
67000,9,31,47
68000,9,31,48
69000,9,31,48
70000,9,32,49
71000,9,33,51
72000,9,33,51
73000,10,33,51
74000,11,34,51
75000,11,34,53
76000,11,36,54
77000,11,36,55
78000,11,36,57
79000,11,36,57
80000,11,38,58
81000,11,39,58
82000,11,39,58
83000,11,40,58
84000,11,41,61
85000,11,41,63
86000,11,41,63
87000,11,43,66
88000,11,43,66
89000,11,44,67
90000,11,44,67
91000,11,45,68
92000,11,46,70
93000,11,46,71
94000,12,46,72
95000,12,47,73
96000,13,47,74
97000,13,47,74
98000,13,47,75
99000,14,48,75
100000,14,48,76
