# clock,robot type,collected_food,average per 1000 steps
1000,SOLITARY,0,0
1000,RECRUITER,0,0
1000,RECRUITEE,0,0
2000,SOLITARY,2,1
2000,RECRUITER,0,0
2000,RECRUITEE,0,0
3000,SOLITARY,4,1.33333
3000,RECRUITER,0,0
3000,RECRUITEE,7,2.33333
4000,SOLITARY,5,1.25
4000,RECRUITER,0,0
4000,RECRUITEE,8,2
5000,SOLITARY,6,1.2
5000,RECRUITER,2,0.4
5000,RECRUITEE,9,1.8
6000,SOLITARY,9,1.5
6000,RECRUITER,2,0.333333
6000,RECRUITEE,10,1.66667
7000,SOLITARY,9,1.28571
7000,RECRUITER,2,0.285714
7000,RECRUITEE,15,2.14286
8000,SOLITARY,11,1.375
8000,RECRUITER,3,0.375
8000,RECRUITEE,18,2.25
9000,SOLITARY,11,1.22222
9000,RECRUITER,5,0.555556
9000,RECRUITEE,20,2.22222
10000,SOLITARY,12,1.2
10000,RECRUITER,5,0.5
10000,RECRUITEE,22,2.2
11000,SOLITARY,14,1.27273
11000,RECRUITER,5,0.454545
11000,RECRUITEE,25,2.27273
12000,SOLITARY,15,1.25
12000,RECRUITER,7,0.583333
12000,RECRUITEE,28,2.33333
13000,SOLITARY,16,1.23077
13000,RECRUITER,7,0.538462
13000,RECRUITEE,30,2.30769
14000,SOLITARY,16,1.14286
14000,RECRUITER,7,0.5
14000,RECRUITEE,34,2.42857
15000,SOLITARY,17,1.13333
15000,RECRUITER,7,0.466667
15000,RECRUITEE,37,2.46667
16000,SOLITARY,18,1.125
16000,RECRUITER,9,0.5625
16000,RECRUITEE,41,2.5625
17000,SOLITARY,19,1.11765
17000,RECRUITER,9,0.529412
17000,RECRUITEE,44,2.58824
18000,SOLITARY,20,1.11111
18000,RECRUITER,11,0.611111
18000,RECRUITEE,47,2.61111
19000,SOLITARY,21,1.10526
19000,RECRUITER,11,0.578947
19000,RECRUITEE,50,2.63158
20000,SOLITARY,21,1.05
20000,RECRUITER,12,0.6
20000,RECRUITEE,51,2.55
21000,SOLITARY,22,1.04762
21000,RECRUITER,12,0.571429
21000,RECRUITEE,53,2.52381
22000,SOLITARY,22,1
22000,RECRUITER,12,0.545455
