# clock,robot type,collected_food,average per 1000 steps
55000,RECRUITER,30,0.545455
55000,RECRUITEE,132,2.4
56000,SOLITARY,53,0.946429
56000,RECRUITER,30,0.535714
56000,RECRUITEE,133,2.375
57000,SOLITARY,54,0.947368
57000,RECRUITER,32,0.561404
57000,RECRUITEE,135,2.36842
58000,SOLITARY,55,0.948276
58000,RECRUITER,32,0.551724
58000,RECRUITEE,137,2.36207
59000,SOLITARY,56,0.949153
59000,RECRUITER,32,0.542373
59000,RECRUITEE,138,2.33898
60000,SOLITARY,57,0.95
60000,RECRUITER,32,0.533333
60000,RECRUITEE,144,2.4
61000,SOLITARY,59,0.967213
61000,RECRUITER,36,0.590164
61000,RECRUITEE,145,2.37705
62000,SOLITARY,59,0.951613
62000,RECRUITER,36,0.580645
62000,RECRUITEE,146,2.35484
63000,SOLITARY,61,0.968254
63000,RECRUITER,36,0.571429
63000,RECRUITEE,149,2.36508
64000,SOLITARY,62,0.96875
64000,RECRUITER,36,0.5625
64000,RECRUITEE,149,2.32812
65000,SOLITARY,63,0.969231
65000,RECRUITER,37,0.569231
65000,RECRUITEE,152,2.33846
66000,SOLITARY,63,0.954545
66000,RECRUITER,37,0.560606
66000,RECRUITEE,155,2.34848
67000,SOLITARY,65,0.970149
67000,RECRUITER,39,0.58209
67000,RECRUITEE,157,2.34328
68000,SOLITARY,66,0.970588
68000,RECRUITER,39,0.573529
68000,RECRUITEE,159,2.33824
69000,SOLITARY,67,0.971014
69000,RECRUITER,39,0.565217
69000,RECRUITEE,161,2.33333
70000,SOLITARY,68,0.971429
70000,RECRUITER,40,0.571429
70000,RECRUITEE,164,2.34286
71000,SOLITARY,68,0.957747
71000,RECRUITER,41,0.577465
71000,RECRUITEE,165,2.32394
72000,SOLITARY,69,0.958333
72000,RECRUITER,42,0.583333
72000,RECRUITEE,167,2.31944
73000,SOLITARY,69,0.945205
73000,RECRUITER,42,0.575342
73000,RECRUITEE,169,2.31507
74000,SOLITARY,69,0.932432
74000,RECRUITER,43,0.581081
74000,RECRUITEE,171,2.31081
75000,SOLITARY,71,0.946667
75000,RECRUITER,43,0.573333
75000,RECRUITEE,175,2.33333
76000,SOLITARY,73,0.960526
76000,RECRUITER,43,0.565789
76000,RECRUITEE,178,2.34211
77000,SOLITARY,75,0.974026
77000,RECRUITER,44,0.571429
77000,RECRUITEE,181,2.35065
78000,SOLITARY,77,0.987179
78000,RECRUITER,45,0.576923
78000,RECRUITEE,185,2.37179
79000,SOLITARY,77,0.974684
79000,RECRUITER,46,0.582278
79000,RECRUITEE,188,2.37975
80000,SOLITARY,78,0.975
80000,RECRUITER,46,0.575
80000,RECRUITEE,190,2.375
81000,SOLITARY,79,0.975309
81000,RECRUITER,47,0.580247
81000,RECRUITEE,191,2.35802
82000,SOLITARY,79,0.963415
82000,RECRUITER,48,0.585366
82000,RECRUITEE,195,2.37805
83000,SOLITARY,81,0.975904
83000,RECRUITER,49,0.590361
83000,RECRUITEE,195,2.3494
84000,SOLITARY,82,0.97619
84000,RECRUITER,49,0.583333
84000,RECRUITEE,198,2.35714
85000,SOLITARY,83,0.976471
85000,RECRUITER,49,0.576471
85000,RECRUITEE,199,2.34118
86000,SOLITARY,83,0.965116
86000,RECRUITER,51,0.593023
86000,RECRUITEE,203,2.36047
87000,SOLITARY,84,0.965517
87000,RECRUITER,52,0.597701
87000,RECRUITEE,204,2.34483
88000,SOLITARY,85,0.965909
88000,RECRUITER,52,0.590909
88000,RECRUITEE,205,2.32955
89000,SOLITARY,86,0.966292
89000,RECRUITER,52,0.58427
89000,RECRUITEE,209,2.34831
90000,SOLITARY,87,0.966667
90000,RECRUITER,54,0.6
90000,RECRUITEE,212,2.35556
91000,SOLITARY,88,0.967033
91000,RECRUITER,55,0.604396
91000,RECRUITEE,213,2.34066
92000,SOLITARY,88,0.956522
92000,RECRUITER,55,0.597826
92000,RECRUITEE,215,2.33696
93000,SOLITARY,88,0.946237
93000,RECRUITER,55,0.591398
93000,RECRUITEE,220,2.36559
94000,SOLITARY,88,0.93617
94000,RECRUITER,57,0.606383
94000,RECRUITEE,222,2.3617
95000,SOLITARY,88,0.926316
95000,RECRUITER,58,0.610526
95000,RECRUITEE,223,2.34737
96000,SOLITARY,91,0.947917
96000,RECRUITER,58,0.604167
96000,RECRUITEE,225,2.34375
97000,SOLITARY,91,0.938144
97000,RECRUITER,58,0.597938
97000,RECRUITEE,227,2.34021
98000,SOLITARY,94,0.959184
98000,RECRUITER,58,0.591837
98000,RECRUITEE,231,2.35714
99000,SOLITARY,94,0.949495
99000,RECRUITER,58,0.585859
99000,RECRUITEE,233,2.35354
100000,SOLITARY,94,0.94
100000,RECRUITER,60,0.6
100000,RECRUITEE,235,2.35
