# clock,solitary,recruiter,recruitee
1000,0,0,0
2000,0,0,0
3000,0,0,1
4000,0,0,1
5000,0,0,1
6000,0,0,1
7000,0,0,1
8000,0,0,1
9000,0,0,1
10000,0,0,1
11000,0,0,1
12000,0,0,2
13000,0,0,3
14000,0,0,4
15000,0,0,5
16000,0,0,6
17000,0,0,8
18000,0,0,10
19000,0,0,11
20000,0,0,11
21000,0,0,12
22000,0,0,14
23000,0,0,17
24000,0,0,18
25000,0,0,18
26000,0,1,21
27000,0,1,23
28000,0,1,24
29000,0,1,26
30000,0,1,29
31000,0,1,30
32000,0,1,31
33000,0,1,35
34000,0,1,35
35000,0,2,37
36000,0,2,38
37000,0,2,41
38000,0,2,42
39000,0,2,42
40000,0,3,44
41000,0,3,45
42000,0,3,45
43000,0,3,47
44000,0,3,47
45000,0,3,47
46000,0,3,47
47000,0,3,49
48000,0,3,50
49000,0,3,50
50000,0,3,51
51000,0,3,51
52000,0,3,51
53000,0,3,52
54000,0,3,52
55000,0,3,53
56000,0,3,53
57000,0,3,54
58000,0,3,55
59000,0,3,57
60000,0,4,57
61000,0,4,58
62000,0,5,59
63000,0,5,61
64000,0,5,63
65000,0,6,64
66000,0,6,64
67000,0,6,64
68000,0,6,65
69000,0,6,66
70000,0,6,67
71000,0,6,68
72000,0,6,70
73000,0,6,71
74000,0,6,71
75000,0,6,73
76000,0,6,75
77000,0,6,75
78000,0,6,77
79000,0,6,78
80000,0,6,79
81000,0,6,80
82000,0,6,81
83000,0,8,82
84000,0,8,85
85000,0,9,86
86000,0,9,86
87000,0,9,86
88000,0,9,86
89000,0,9,87
90000,0,9,88
91000,0,9,90
92000,0,9,92
93000,0,9,92
94000,0,9,93
95000,0,9,96
96000,0,9,97
97000,0,9,98
98000,0,9,100
99000,0,9,101
100000,0,9,103
101000,0,9,105
102000,0,9,105
103000,0,10,106
104000,0,11,109
105000,0,11,109
106000,0,11,110
107000,0,11,111
108000,0,11,111
109000,0,11,111
110000,0,11,112
111000,0,11,113
112000,0,11,113
113000,0,11,113
114000,0,11,114
115000,0,11,116
116000,0,11,117
117000,0,11,117
118000,0,11,119
119000,0,11,122
120000,0,11,122
121000,0,11,122
122000,0,11,122
123000,0,11,125
124000,0,11,126
125000,0,11,126
126000,0,12,128
127000,0,12,129
128000,0,12,129
129000,0,12,129
130000,0,12,130
131000,0,12,131
132000,0,12,132
133000,0,12,133
134000,0,12,133
135000,0,12,133
136000,0,12,135
137000,0,12,137
138000,0,12,138
139000,0,12,138
140000,0,12,138
141000,0,12,140
142000,0,12,140
143000,0,12,141
144000,0,12,141
145000,0,12,142
146000,0,12,145
147000,0,13,147
148000,0,13,148
149000,0,13,150
150000,0,13,150
151000,0,13,151
152000,0,13,152
153000,0,13,154
154000,0,13,155
155000,0,13,156
156000,0,13,157
157000,0,13,157
158000,0,13,158
159000,0,13,159
160000,0,13,161
161000,0,14,163
162000,0,14,163
163000,0,14,163
164000,0,14,163
165000,0,14,163
166000,0,14,164
167000,0,14,166
168000,0,14,167
169000,0,14,168
170000,0,14,169
171000,0,14,170
172000,0,14,171
173000,0,14,173
174000,0,14,174
175000,0,14,174
176000,0,14,175
177000,0,14,177
178000,0,14,178
179000,0,14,179
180000,0,14,180
181000,0,14,182
182000,0,15,184
183000,0,15,185
184000,0,15,187
185000,0,15,187
186000,0,15,189
187000,0,15,190
188000,0,15,191
189000,0,15,192
190000,0,15,192
191000,0,15,195
192000,0,16,196
193000,0,16,196
194000,0,16,196
195000,0,16,197
196000,0,16,197
197000,0,16,197
198000,0,16,199
199000,0,16,199
200000,0,16,199
201000,0,16,200
202000,0,16,202
203000,0,16,203
204000,0,16,204
205000,0,16,205
206000,0,16,207
207000,0,16,208
208000,0,16,210
209000,0,16,212
210000,0,16,213
211000,0,17,214
212000,0,17,215
213000,0,17,217
214000,0,17,218
215000,0,17,219
216000,0,18,223
217000,0,18,225
218000,0,18,225
219000,0,18,226
220000,0,18,227
221000,0,18,228
222000,0,18,230
223000,0,18,231
224000,0,18,231
225000,0,19,232
226000,0,19,232
227000,0,19,233
228000,0,19,233
229000,0,19,234
230000,0,19,235
231000,0,19,237
232000,0,19,238
233000,0,19,239
234000,0,19,239
235000,0,19,241
236000,0,19,243
237000,0,19,245
238000,0,19,245
239000,0,19,246
240000,0,19,247
241000,0,19,247
242000,0,19,251
243000,0,21,253
244000,0,21,254
245000,0,21,255
246000,0,21,256
247000,0,21,256
248000,0,21,256
249000,0,21,258
250000,0,21,259
251000,0,21,260
252000,0,21,261
253000,0,21,263
254000,0,21,264
255000,0,21,266
256000,0,21,266
257000,0,21,268
258000,0,21,269
259000,0,21,271
260000,0,21,273
261000,0,21,275
262000,0,21,275
263000,0,21,278
264000,0,22,280
265000,0,22,280
266000,0,22,280
267000,0,22,280
268000,0,22,283
269000,0,22,285
270000,0,22,286
271000,0,22,287
272000,0,22,289
273000,0,22,291
