# clock,robot type,collected_food,average per 1000 steps
55000,RECRUITEE,90,1.63636
56000,SOLITARY,62,1.10714
56000,RECRUITER,35,0.625
56000,RECRUITEE,91,1.625
57000,SOLITARY,64,1.12281
57000,RECRUITER,36,0.631579
57000,RECRUITEE,91,1.59649
58000,SOLITARY,64,1.10345
58000,RECRUITER,37,0.637931
58000,RECRUITEE,92,1.58621
59000,SOLITARY,66,1.11864
59000,RECRUITER,38,0.644068
59000,RECRUITEE,93,1.57627
60000,SOLITARY,67,1.11667
60000,RECRUITER,38,0.633333
60000,RECRUITEE,95,1.58333
61000,SOLITARY,68,1.11475
61000,RECRUITER,39,0.639344
61000,RECRUITEE,96,1.57377
62000,SOLITARY,68,1.09677
62000,RECRUITER,40,0.645161
62000,RECRUITEE,97,1.56452
63000,SOLITARY,69,1.09524
63000,RECRUITER,40,0.634921
63000,RECRUITEE,100,1.5873
64000,SOLITARY,72,1.125
64000,RECRUITER,41,0.640625
64000,RECRUITEE,100,1.5625
65000,SOLITARY,73,1.12308
65000,RECRUITER,41,0.630769
65000,RECRUITEE,102,1.56923
66000,SOLITARY,73,1.10606
66000,RECRUITER,41,0.621212
66000,RECRUITEE,104,1.57576
67000,SOLITARY,74,1.10448
67000,RECRUITER,43,0.641791
67000,RECRUITEE,106,1.58209
68000,SOLITARY,75,1.10294
68000,RECRUITER,43,0.632353
68000,RECRUITEE,107,1.57353
69000,SOLITARY,77,1.11594
69000,RECRUITER,43,0.623188
69000,RECRUITEE,108,1.56522
70000,SOLITARY,77,1.1
70000,RECRUITER,45,0.642857
70000,RECRUITEE,110,1.57143
71000,SOLITARY,80,1.12676
71000,RECRUITER,45,0.633803
71000,RECRUITEE,112,1.57746
72000,SOLITARY,81,1.125
72000,RECRUITER,46,0.638889
72000,RECRUITEE,113,1.56944
73000,SOLITARY,81,1.10959
73000,RECRUITER,46,0.630137
73000,RECRUITEE,115,1.57534
74000,SOLITARY,84,1.13514
74000,RECRUITER,46,0.621622
74000,RECRUITEE,119,1.60811
75000,SOLITARY,85,1.13333
75000,RECRUITER,47,0.626667
75000,RECRUITEE,121,1.61333
76000,SOLITARY,85,1.11842
76000,RECRUITER,48,0.631579
76000,RECRUITEE,123,1.61842
77000,SOLITARY,87,1.12987
77000,RECRUITER,50,0.649351
77000,RECRUITEE,123,1.5974
78000,SOLITARY,88,1.12821
78000,RECRUITER,50,0.641026
78000,RECRUITEE,124,1.58974
79000,SOLITARY,88,1.11392
79000,RECRUITER,50,0.632911
79000,RECRUITEE,125,1.58228
80000,SOLITARY,90,1.125
80000,RECRUITER,50,0.625
80000,RECRUITEE,129,1.6125
81000,SOLITARY,91,1.12346
81000,RECRUITER,51,0.62963
81000,RECRUITEE,132,1.62963
82000,SOLITARY,91,1.10976
82000,RECRUITER,54,0.658537
82000,RECRUITEE,132,1.60976
83000,SOLITARY,93,1.12048
83000,RECRUITER,54,0.650602
83000,RECRUITEE,133,1.60241
84000,SOLITARY,94,1.11905
84000,RECRUITER,54,0.642857
84000,RECRUITEE,134,1.59524
85000,SOLITARY,94,1.10588
85000,RECRUITER,55,0.647059
85000,RECRUITEE,135,1.58824
86000,SOLITARY,96,1.11628
86000,RECRUITER,56,0.651163
86000,RECRUITEE,137,1.59302
87000,SOLITARY,97,1.11494
87000,RECRUITER,58,0.666667
87000,RECRUITEE,140,1.6092
88000,SOLITARY,98,1.11364
88000,RECRUITER,58,0.659091
88000,RECRUITEE,141,1.60227
89000,SOLITARY,100,1.1236
89000,RECRUITER,58,0.651685
89000,RECRUITEE,141,1.58427
90000,SOLITARY,102,1.13333
90000,RECRUITER,58,0.644444
90000,RECRUITEE,141,1.56667
91000,SOLITARY,103,1.13187
91000,RECRUITER,58,0.637363
91000,RECRUITEE,144,1.58242
92000,SOLITARY,104,1.13043
92000,RECRUITER,61,0.663043
92000,RECRUITEE,144,1.56522
93000,SOLITARY,105,1.12903
93000,RECRUITER,61,0.655914
93000,RECRUITEE,144,1.54839
94000,SOLITARY,107,1.1383
94000,RECRUITER,62,0.659574
94000,RECRUITEE,146,1.55319
95000,SOLITARY,107,1.12632
95000,RECRUITER,62,0.652632
95000,RECRUITEE,148,1.55789
96000,SOLITARY,108,1.125
96000,RECRUITER,63,0.65625
96000,RECRUITEE,148,1.54167
97000,SOLITARY,110,1.13402
97000,RECRUITER,64,0.659794
97000,RECRUITEE,150,1.54639
98000,SOLITARY,110,1.12245
98000,RECRUITER,64,0.653061
98000,RECRUITEE,151,1.54082
99000,SOLITARY,111,1.12121
99000,RECRUITER,64,0.646465
99000,RECRUITEE,154,1.55556
100000,SOLITARY,113,1.13
100000,RECRUITER,65,0.65
100000,RECRUITEE,154,1.54
