# clock,solitary,recruiter,recruitee
1000,0,0,0
2000,0,0,2
3000,0,0,5
4000,0,1,6
5000,0,1,6
6000,0,1,8
7000,1,1,10
8000,2,2,13
9000,3,2,15
10000,5,3,19
11000,6,3,22
12000,7,3,24
13000,8,4,25
14000,10,5,27
15000,11,6,30
16000,13,6,31
17000,13,7,33
18000,15,7,33
19000,15,8,36
20000,17,9,38
21000,18,10,39
22000,21,10,41
23000,23,10,41
24000,23,11,44
25000,25,12,47
26000,28,13,50
27000,29,14,54
28000,29,14,55
29000,32,15,57
30000,33,18,59
31000,35,18,61
32000,37,18,65
33000,37,19,67
34000,39,19,70
35000,40,20,72
36000,41,21,74
37000,41,21,76
38000,42,22,80
39000,43,22,80
40000,45,23,82
41000,45,24,84
42000,47,24,85
43000,48,25,89
44000,51,25,90
45000,51,26,91
46000,52,27,94
47000,54,28,96
48000,55,29,97
49000,55,29,99
50000,57,31,101
51000,57,31,105
52000,57,32,105
53000,59,32,108
54000,60,33,112
55000,61,34,112
56000,62,34,113
57000,62,35,116
58000,62,36,118
59000,62,37,120
60000,64,37,121
61000,64,37,125
62000,66,38,126
63000,66,38,127
64000,67,39,128
65000,68,39,130
66000,69,39,132
67000,70,40,134
68000,71,41,135
69000,72,41,136
70000,73,41,138
71000,73,42,141
72000,74,44,141
73000,75,44,142
74000,76,44,146
75000,77,47,148
76000,79,47,150
77000,80,47,151
78000,81,47,152
79000,83,47,152
80000,84,50,153
81000,84,50,154
82000,85,50,154
83000,86,50,157
84000,86,52,161
85000,88,53,164
86000,88,53,166
87000,89,53,167
88000,89,54,171
89000,90,55,173
90000,91,56,174
91000,91,56,174
92000,92,56,176
93000,94,58,179
94000,94,58,182
95000,97,59,184
96000,97,60,184
97000,98,61,188
98000,100,62,188
99000,100,62,188
100000,101,63,192
