# clock,collected_food,avarage per 100 steps
1000,0,0
2000,4,2
3000,6,2
4000,9,2.25
5000,13,2.6
6000,19,3.16667
7000,21,3
8000,28,3.5
9000,29,3.22222
10000,34,3.4
11000,39,3.54545
12000,43,3.58333
13000,48,3.69231
14000,50,3.57143
15000,56,3.73333
16000,58,3.625
17000,65,3.82353
18000,68,3.77778
19000,73,3.84211
20000,77,3.85
21000,80,3.80952
22000,84,3.81818
23000,88,3.82609
24000,92,3.83333
25000,95,3.8
26000,102,3.92308
27000,103,3.81481
28000,108,3.85714
29000,112,3.86207
30000,113,3.76667
31000,118,3.80645
32000,122,3.8125
33000,123,3.72727
34000,129,3.79412
35000,132,3.77143
36000,135,3.75
37000,140,3.78378
38000,143,3.76316
39000,149,3.82051
40000,153,3.825
41000,155,3.78049
42000,160,3.80952
43000,165,3.83721
44000,167,3.79545
45000,170,3.77778
46000,173,3.76087
47000,179,3.80851
48000,181,3.77083
49000,185,3.77551
50000,189,3.78
51000,197,3.86275
52000,199,3.82692
53000,201,3.79245
54000,207,3.83333
55000,209,3.8
56000,211,3.76786
57000,216,3.78947
58000,218,3.75862
59000,222,3.76271
60000,225,3.75
61000,229,3.7541
62000,233,3.75806
63000,235,3.73016
64000,238,3.71875
65000,242,3.72308
66000,246,3.72727
67000,250,3.73134
68000,255,3.75
69000,257,3.72464
70000,264,3.77143
71000,266,3.74648
72000,272,3.77778
73000,275,3.76712
74000,279,3.77027
75000,282,3.76
76000,288,3.78947
77000,289,3.75325
78000,295,3.78205
79000,297,3.75949
80000,303,3.7875
81000,307,3.79012
82000,307,3.7439
83000,311,3.74699
84000,314,3.7381
85000,318,3.74118
86000,321,3.73256
87000,325,3.73563
88000,329,3.73864
89000,330,3.70787
90000,335,3.72222
91000,338,3.71429
92000,342,3.71739
93000,347,3.73118
94000,350,3.7234
95000,353,3.71579
96000,356,3.70833
97000,359,3.70103
98000,363,3.70408
99000,368,3.71717
100000,372,3.72
