# clock,solitary,recruiter,recruitee
1000,0,0,0
2000,0,0,0
3000,0,0,1
4000,0,0,1
5000,0,0,2
6000,0,0,3
7000,0,0,4
8000,0,0,4
9000,0,0,5
10000,0,0,6
11000,0,0,6
12000,0,0,7
13000,0,0,8
14000,0,0,8
15000,0,0,8
16000,0,0,8
17000,0,0,9
18000,0,0,10
19000,0,0,11
20000,0,1,11
21000,0,1,13
22000,0,1,14
23000,0,1,14
24000,0,1,16
25000,0,1,17
26000,0,1,17
27000,0,1,19
28000,0,1,19
29000,0,1,19
30000,0,1,21
31000,0,1,22
32000,0,1,22
33000,0,1,23
34000,0,2,23
35000,0,2,23
36000,0,2,23
37000,0,2,24
38000,0,2,25
39000,0,2,25
40000,0,2,27
41000,0,2,28
42000,0,2,28
43000,0,2,29
44000,0,2,30
45000,0,2,32
46000,0,2,33
47000,0,2,33
48000,0,2,34
49000,0,2,36
50000,0,2,37
51000,0,3,39
52000,0,3,39
53000,0,3,39
54000,0,3,41
55000,0,3,41
56000,0,3,41
57000,0,3,41
58000,0,3,43
59000,0,3,43
60000,0,3,44
61000,0,3,45
62000,0,3,46
63000,0,3,47
64000,0,3,47
65000,0,3,47
66000,0,3,48
67000,0,3,48
68000,0,3,49
69000,0,3,50
70000,0,5,50
71000,0,5,52
72000,0,5,52
73000,0,6,54
74000,0,6,54
75000,0,6,54
76000,0,6,56
77000,0,6,57
78000,0,6,57
79000,0,6,57
80000,0,6,58
81000,0,6,59
82000,0,6,59
83000,0,6,61
84000,0,6,61
85000,0,6,61
86000,0,6,63
87000,0,6,63
88000,0,6,64
89000,0,6,65
90000,0,7,66
91000,0,7,66
92000,0,7,67
93000,0,7,67
94000,0,7,68
95000,0,7,68
96000,0,7,69
97000,0,7,69
98000,0,7,69
99000,0,7,70
100000,0,7,71
101000,0,7,73
102000,0,7,75
103000,0,7,75
104000,0,7,76
105000,0,7,77
106000,0,7,78
107000,0,7,78
108000,0,7,80
109000,0,9,81
110000,0,9,82
111000,0,9,83
112000,0,9,83
113000,0,9,84
114000,0,9,85
115000,0,9,85
116000,0,9,85
117000,0,9,87
118000,0,9,88
119000,0,9,89
120000,0,10,90
121000,0,10,92
122000,0,10,95
123000,0,10,96
124000,0,10,98
125000,0,10,99
126000,0,10,99
127000,0,10,100
128000,0,10,101
129000,0,10,101
130000,0,10,103
131000,0,10,105
132000,0,11,106
133000,0,11,106
134000,0,11,106
135000,0,11,107
136000,0,11,109
137000,0,11,112
138000,0,11,112
139000,0,11,113
140000,0,11,114
141000,0,11,115
142000,0,11,116
143000,0,11,117
144000,0,11,119
145000,0,11,121
146000,0,11,121
147000,0,11,122
148000,0,11,125
149000,0,11,127
150000,0,12,128
151000,0,12,129
152000,0,12,130
153000,0,12,132
154000,0,12,132
155000,0,12,133
156000,0,12,134
157000,0,13,135
158000,0,13,136
159000,0,13,136
160000,0,13,137
161000,0,13,138
162000,0,13,139
163000,0,13,140
164000,0,13,142
165000,0,13,143
166000,0,13,143
167000,0,13,143
168000,0,13,143
169000,0,13,145
170000,0,13,147
171000,0,13,148
172000,0,13,148
173000,0,13,150
174000,0,13,151
175000,0,13,153
176000,0,13,154
177000,0,13,156
178000,0,13,156
179000,0,14,157
180000,0,14,158
181000,0,14,159
182000,0,14,159
183000,0,14,159
184000,0,14,160
185000,0,14,161
186000,0,14,161
187000,0,14,162
188000,0,14,162
189000,0,14,163
190000,0,14,164
191000,0,14,165
192000,0,14,166
193000,0,14,168
194000,0,14,168
195000,0,14,172
196000,0,14,172
197000,0,15,174
198000,0,15,174
199000,0,15,176
200000,0,15,176
201000,0,15,178
202000,0,15,178
203000,0,16,178
204000,0,16,179
205000,0,16,181
206000,0,16,182
207000,0,16,182
208000,0,16,183
209000,0,16,184
210000,0,16,184
211000,0,16,184
212000,0,16,185
213000,0,16,185
214000,0,16,185
215000,0,16,185
216000,0,16,186
217000,0,16,188
218000,0,16,188
219000,0,16,189
220000,0,17,191
221000,0,17,191
222000,0,17,191
223000,0,17,192
224000,0,17,192
225000,0,17,193
226000,0,17,193
227000,0,17,193
228000,0,18,195
229000,0,18,195
230000,0,18,195
231000,0,18,196
232000,0,18,196
233000,0,18,197
234000,0,18,197
235000,0,18,197
236000,0,18,199
237000,0,18,199
238000,0,18,201
239000,0,18,201
240000,0,18,202
241000,0,18,205
242000,0,18,206
243000,0,18,206
244000,0,18,206
245000,0,18,207
246000,0,18,207
247000,0,18,208
248000,0,18,208
249000,0,18,209
250000,0,18,210
251000,0,18,211
252000,0,19,213
253000,0,19,214
254000,0,19,214
255000,0,19,215
256000,0,20,216
257000,0,20,216
258000,0,20,217
259000,0,20,218
260000,0,20,218
261000,0,20,218
262000,0,20,219
263000,0,20,220
264000,0,20,221
265000,0,20,221
266000,0,20,223
267000,0,20,223
268000,0,20,224
269000,0,20,224
270000,0,20,224
271000,0,20,224
272000,0,20,224
273000,0,20,226
