# clock,collected_food,avarage per 100 steps
1000,0,0
2000,7,3.5
3000,10,3.33333
4000,14,3.5
5000,20,4
6000,22,3.66667
7000,31,4.42857
8000,35,4.375
9000,41,4.55556
10000,46,4.6
11000,54,4.90909
12000,59,4.91667
13000,63,4.84615
14000,67,4.78571
15000,70,4.66667
16000,73,4.5625
17000,80,4.70588
18000,84,4.66667
19000,91,4.78947
20000,96,4.8
21000,97,4.61905
22000,100,4.54545
23000,104,4.52174
24000,110,4.58333
25000,113,4.52
26000,120,4.61538
27000,125,4.62963
28000,129,4.60714
29000,136,4.68966
30000,140,4.66667
31000,144,4.64516
32000,147,4.59375
33000,151,4.57576
34000,156,4.58824
35000,160,4.57143
36000,164,4.55556
37000,172,4.64865
38000,176,4.63158
39000,179,4.58974
40000,182,4.55
41000,187,4.56098
42000,192,4.57143
43000,195,4.53488
44000,202,4.59091
45000,205,4.55556
46000,211,4.58696
47000,215,4.57447
48000,219,4.5625
49000,227,4.63265
50000,231,4.62
51000,237,4.64706
52000,242,4.65385
53000,247,4.66038
54000,253,4.68518
55000,258,4.69091
56000,262,4.67857
57000,265,4.64912
58000,272,4.68966
59000,277,4.69492
60000,283,4.71667
61000,286,4.68852
62000,292,4.70968
63000,296,4.69841
64000,302,4.71875
65000,305,4.69231
66000,310,4.69697
67000,315,4.70149
68000,317,4.66176
69000,325,4.71014
70000,330,4.71429
71000,335,4.71831
72000,341,4.73611
73000,346,4.73973
74000,351,4.74324
75000,359,4.78667
76000,362,4.76316
77000,366,4.75325
78000,370,4.74359
79000,375,4.74684
80000,381,4.7625
81000,387,4.77778
82000,392,4.78049
83000,398,4.79518
84000,405,4.82143
85000,409,4.81176
86000,415,4.82558
87000,418,4.8046
88000,419,4.76136
89000,422,4.74157
90000,425,4.72222
91000,430,4.72527
92000,437,4.75
93000,441,4.74194
94000,447,4.75532
95000,451,4.74737
96000,455,4.73958
97000,461,4.75258
98000,465,4.7449
99000,470,4.74747
100000,474,4.74
