# clock,solitary,recruiter,recruitee
1000,0,0,0
2000,1,0,0
3000,4,0,0
4000,7,0,0
5000,9,0,0
6000,9,0,0
7000,11,0,0
8000,12,0,0
9000,13,0,0
10000,17,0,0
11000,21,0,0
12000,22,0,0
13000,26,0,0
14000,27,0,0
15000,29,0,0
16000,31,0,0
17000,32,0,0
18000,34,0,0
19000,35,0,0
20000,39,0,0
21000,39,0,0
22000,44,0,0
23000,45,0,0
24000,47,0,0
25000,49,0,0
26000,51,0,0
27000,52,0,0
28000,54,0,0
29000,56,0,0
30000,58,0,0
31000,61,0,0
32000,62,0,0
33000,65,0,0
34000,68,0,0
35000,71,0,0
36000,74,0,0
37000,76,0,0
38000,77,0,0
39000,80,0,0
40000,82,0,0
41000,86,0,0
42000,88,0,0
43000,94,0,0
44000,94,0,0
45000,95,0,0
46000,97,0,0
47000,98,0,0
48000,100,0,0
49000,102,0,0
50000,103,0,0
51000,105,0,0
52000,106,0,0
53000,110,0,0
54000,112,0,0
55000,114,0,0
56000,116,0,0
57000,119,0,0
58000,120,0,0
59000,123,0,0
60000,123,0,0
61000,126,0,0
62000,127,0,0
63000,128,0,0
64000,131,0,0
65000,133,0,0
66000,136,0,0
67000,137,0,0
68000,141,0,0
69000,143,0,0
70000,145,0,0
71000,145,0,0
72000,146,0,0
73000,149,0,0
74000,151,0,0
75000,152,0,0
76000,155,0,0
77000,157,0,0
78000,159,0,0
79000,160,0,0
80000,162,0,0
81000,164,0,0
82000,165,0,0
83000,165,0,0
84000,168,0,0
85000,169,0,0
86000,171,0,0
87000,172,0,0
88000,173,0,0
89000,174,0,0
90000,177,0,0
91000,179,0,0
92000,181,0,0
93000,183,0,0
94000,187,0,0
95000,190,0,0
96000,192,0,0
97000,193,0,0
98000,194,0,0
99000,197,0,0
100000,197,0,0
101000,201,0,0
102000,203,0,0
103000,205,0,0
104000,206,0,0
105000,210,0,0
106000,212,0,0
107000,214,0,0
108000,219,0,0
109000,219,0,0
110000,221,0,0
111000,222,0,0
112000,225,0,0
113000,226,0,0
114000,228,0,0
115000,229,0,0
116000,229,0,0
117000,234,0,0
118000,236,0,0
119000,238,0,0
120000,239,0,0
121000,242,0,0
122000,243,0,0
123000,247,0,0
124000,250,0,0
125000,252,0,0
126000,253,0,0
127000,254,0,0
128000,256,0,0
129000,259,0,0
130000,259,0,0
131000,261,0,0
132000,262,0,0
133000,265,0,0
134000,267,0,0
135000,270,0,0
136000,273,0,0
137000,276,0,0
138000,279,0,0
139000,280,0,0
140000,281,0,0
141000,282,0,0
142000,283,0,0
143000,285,0,0
144000,285,0,0
145000,287,0,0
146000,293,0,0
147000,296,0,0
148000,297,0,0
149000,298,0,0
150000,299,0,0
151000,302,0,0
152000,303,0,0
153000,304,0,0
154000,308,0,0
155000,310,0,0
156000,316,0,0
157000,318,0,0
158000,320,0,0
159000,320,0,0
160000,321,0,0
161000,324,0,0
162000,327,0,0
163000,328,0,0
164000,329,0,0
165000,332,0,0
166000,333,0,0
167000,333,0,0
168000,337,0,0
169000,338,0,0
170000,341,0,0
171000,343,0,0
172000,346,0,0
173000,346,0,0
174000,348,0,0
175000,350,0,0
176000,352,0,0
177000,355,0,0
178000,357,0,0
179000,360,0,0
180000,361,0,0
181000,362,0,0
182000,364,0,0
183000,365,0,0
184000,366,0,0
185000,369,0,0
186000,371,0,0
187000,371,0,0
188000,375,0,0
189000,377,0,0
190000,380,0,0
191000,381,0,0
192000,385,0,0
193000,387,0,0
194000,392,0,0
195000,392,0,0
196000,394,0,0
197000,396,0,0
198000,401,0,0
199000,401,0,0
200000,403,0,0
201000,404,0,0
202000,406,0,0
203000,407,0,0
204000,408,0,0
205000,410,0,0
206000,412,0,0
207000,414,0,0
208000,415,0,0
209000,417,0,0
210000,419,0,0
211000,422,0,0
212000,423,0,0
213000,423,0,0
214000,425,0,0
215000,431,0,0
216000,433,0,0
217000,435,0,0
218000,437,0,0
219000,440,0,0
220000,440,0,0
221000,442,0,0
222000,445,0,0
223000,448,0,0
224000,451,0,0
225000,453,0,0
226000,454,0,0
227000,455,0,0
228000,458,0,0
229000,462,0,0
230000,464,0,0
231000,464,0,0
232000,467,0,0
233000,468,0,0
234000,472,0,0
235000,474,0,0
236000,476,0,0
237000,479,0,0
238000,481,0,0
239000,482,0,0
240000,484,0,0
241000,487,0,0
242000,489,0,0
243000,493,0,0
244000,493,0,0
245000,495,0,0
246000,497,0,0
247000,498,0,0
248000,500,0,0
249000,502,0,0
250000,503,0,0
251000,505,0,0
252000,508,0,0
253000,510,0,0
254000,510,0,0
255000,512,0,0
256000,513,0,0
257000,515,0,0
258000,517,0,0
259000,518,0,0
260000,521,0,0
261000,523,0,0
262000,526,0,0
263000,529,0,0
264000,530,0,0
265000,533,0,0
266000,537,0,0
267000,538,0,0
268000,540,0,0
269000,542,0,0
270000,543,0,0
271000,546,0,0
272000,548,0,0
273000,550,0,0
274000,551,0,0
275000,554,0,0
276000,558,0,0
277000,561,0,0
278000,561,0,0
279000,562,0,0
280000,564,0,0
281000,564,0,0
282000,568,0,0
283000,572,0,0
284000,575,0,0
285000,575,0,0
286000,578,0,0
287000,580,0,0
288000,583,0,0
289000,587,0,0
290000,587,0,0
291000,587,0,0
292000,591,0,0
293000,591,0,0
294000,593,0,0
