# clock,collected_food,avarage per 100 steps
1000,0,0
2000,3,1.5
3000,9,3
4000,12,3
5000,17,3.4
6000,25,4.16667
7000,32,4.57143
8000,37,4.625
9000,42,4.66667
10000,44,4.4
11000,49,4.45455
12000,54,4.5
13000,58,4.46154
14000,63,4.5
15000,67,4.46667
16000,73,4.5625
17000,76,4.47059
18000,83,4.61111
19000,86,4.52632
20000,90,4.5
21000,91,4.33333
22000,97,4.40909
23000,100,4.34783
24000,103,4.29167
25000,108,4.32
26000,113,4.34615
27000,117,4.33333
28000,124,4.42857
29000,129,4.44828
30000,134,4.46667
31000,137,4.41935
32000,142,4.4375
33000,148,4.48485
34000,151,4.44118
35000,156,4.45714
36000,160,4.44444
37000,163,4.40541
38000,167,4.39474
39000,171,4.38462
40000,176,4.4
41000,182,4.43902
42000,187,4.45238
43000,193,4.48837
44000,199,4.52273
45000,204,4.53333
46000,209,4.54348
47000,214,4.55319
48000,218,4.54167
49000,222,4.53061
50000,228,4.56
51000,232,4.54902
52000,237,4.55769
53000,240,4.5283
54000,243,4.5
55000,246,4.47273
56000,252,4.5
57000,257,4.50877
58000,261,4.5
59000,263,4.45763
60000,269,4.48333
61000,271,4.44262
62000,276,4.45161
63000,281,4.46032
64000,286,4.46875
65000,289,4.44615
66000,292,4.42424
67000,301,4.49254
68000,305,4.48529
69000,312,4.52174
70000,316,4.51429
71000,323,4.5493
72000,327,4.54167
73000,335,4.58904
74000,340,4.59459
75000,343,4.57333
76000,346,4.55263
77000,352,4.57143
78000,360,4.61538
79000,366,4.63291
80000,370,4.625
81000,375,4.62963
82000,383,4.67073
83000,387,4.66265
84000,391,4.65476
85000,397,4.67059
86000,399,4.63953
87000,406,4.66667
88000,408,4.63636
89000,414,4.65169
90000,418,4.64444
91000,425,4.67033
92000,428,4.65217
93000,434,4.66667
94000,441,4.69149
95000,447,4.70526
96000,452,4.70833
97000,456,4.70103
98000,461,4.70408
99000,468,4.72727
100000,472,4.72
