# clock,solitary,recruiter,recruitee
1000,0,0,0
2000,0,0,0
3000,0,0,0
4000,0,0,1
5000,0,0,1
6000,0,0,1
7000,0,0,1
8000,0,0,1
9000,0,0,3
10000,0,0,3
11000,0,0,3
12000,0,0,4
13000,0,0,4
14000,0,0,4
15000,0,0,4
16000,0,0,6
17000,0,0,7
18000,0,1,7
19000,0,1,10
20000,0,2,11
21000,0,3,12
22000,0,3,14
23000,0,3,14
24000,0,3,14
25000,0,3,14
26000,0,3,16
27000,0,3,16
28000,0,3,16
29000,0,3,17
30000,0,3,20
31000,0,3,21
32000,0,3,22
33000,0,3,23
34000,0,3,24
35000,0,3,25
36000,0,3,25
37000,0,3,26
38000,0,3,27
39000,0,3,28
40000,0,5,29
41000,0,5,32
42000,0,5,32
43000,0,5,34
44000,0,5,36
45000,0,5,37
46000,0,6,38
47000,0,6,38
48000,0,6,38
49000,0,6,39
50000,0,6,40
51000,0,6,40
52000,0,6,41
53000,0,6,41
54000,0,6,41
55000,0,6,43
56000,0,6,43
57000,0,6,43
58000,0,6,44
59000,0,6,45
60000,0,6,45
61000,0,6,46
62000,0,6,46
63000,0,6,47
64000,0,6,48
65000,0,6,49
66000,0,6,49
67000,0,7,50
68000,0,7,51
69000,0,7,52
70000,0,7,52
71000,0,7,52
72000,0,7,53
73000,0,7,53
74000,0,7,53
75000,0,7,55
76000,0,7,56
77000,0,7,56
78000,0,7,56
79000,0,7,56
80000,0,8,57
81000,0,8,58
82000,0,8,59
83000,0,8,59
84000,0,8,60
85000,0,8,61
86000,0,8,62
87000,0,8,62
88000,0,8,62
89000,0,8,63
90000,0,8,63
91000,0,8,63
92000,0,8,63
93000,0,9,64
94000,0,9,68
95000,0,9,69
96000,0,9,70
97000,0,9,70
98000,0,9,70
99000,0,10,72
100000,0,10,72
101000,0,10,72
102000,0,10,74
103000,0,10,74
104000,0,10,74
105000,0,10,75
106000,0,10,75
107000,0,10,75
108000,0,11,76
109000,0,11,76
110000,0,11,76
111000,0,11,77
112000,0,11,78
113000,0,11,79
114000,0,11,81
115000,0,11,81
116000,0,11,82
117000,0,11,83
118000,0,11,84
119000,0,12,88
120000,0,12,89
121000,0,12,89
122000,0,12,91
123000,0,12,91
124000,0,12,93
125000,0,12,93
126000,0,12,95
127000,0,13,95
128000,0,13,95
129000,0,13,96
130000,0,13,96
131000,0,13,97
132000,0,13,98
133000,0,13,98
134000,0,13,98
135000,0,13,98
136000,0,13,99
137000,0,13,100
138000,0,13,100
139000,0,14,102
140000,0,14,102
141000,0,14,103
142000,0,14,103
143000,0,14,103
144000,0,14,104
145000,0,14,104
146000,0,14,104
147000,0,14,105
148000,0,14,108
149000,0,14,108
150000,0,14,108
151000,0,14,108
152000,0,14,108
153000,0,14,108
154000,0,14,109
155000,0,14,112
156000,0,14,112
157000,0,14,113
158000,0,14,114
159000,0,14,114
160000,0,14,116
161000,0,14,117
162000,0,14,117
163000,0,15,117
164000,0,15,118
165000,0,15,118
166000,0,15,120
167000,0,15,120
168000,0,15,120
169000,0,15,120
170000,0,16,120
171000,0,16,122
172000,0,16,124
173000,0,16,125
174000,0,16,126
175000,0,16,126
176000,0,16,126
177000,0,16,126
178000,0,16,126
179000,0,16,127
180000,0,16,127
181000,0,16,128
182000,0,16,128
183000,0,16,129
184000,0,16,129
185000,0,16,130
186000,0,16,130
187000,0,16,130
188000,0,16,132
189000,0,16,133
190000,0,16,134
191000,0,16,134
192000,0,16,135
193000,0,16,135
194000,0,16,135
195000,0,17,137
196000,0,17,137
197000,0,17,137
198000,0,17,137
199000,0,18,139
200000,0,18,142
201000,0,18,142
202000,0,18,144
203000,0,18,145
204000,0,18,146
205000,0,19,148
206000,0,19,149
207000,0,19,150
208000,0,19,150
209000,0,19,150
210000,0,19,151
211000,0,19,151
212000,0,19,151
213000,0,19,151
214000,0,19,151
215000,0,19,151
216000,0,19,151
217000,0,19,152
218000,0,19,152
219000,0,19,153
220000,0,19,153
221000,0,19,153
222000,0,19,154
223000,0,19,154
224000,0,19,155
225000,0,19,155
226000,0,19,155
227000,0,19,156
228000,0,19,157
229000,0,19,158
230000,0,19,158
231000,0,19,158
232000,0,19,160
233000,0,19,161
234000,0,19,163
235000,0,19,163
236000,0,19,163
237000,0,19,166
238000,0,19,167
239000,0,19,167
240000,0,19,169
241000,0,19,172
242000,0,19,172
243000,0,19,172
244000,0,19,173
245000,0,19,174
246000,0,20,175
247000,0,20,175
248000,0,20,176
249000,0,21,176
250000,0,21,176
251000,0,21,176
252000,0,21,176
253000,0,21,178
254000,0,21,179
255000,0,21,180
256000,0,21,180
257000,0,21,181
258000,0,21,181
259000,0,21,182
260000,0,21,182
261000,0,21,184
262000,0,21,184
263000,0,21,186
264000,0,21,187
265000,0,21,188
266000,0,21,189
267000,0,21,189
268000,0,21,192
269000,0,22,194
270000,0,23,195
271000,0,23,195
272000,0,23,196
273000,0,23,198
