# clock,solitary,recruiter,recruitee
1000,0,0,0,
2000,2,0,2,
3000,3,0,4,
4000,4,2,4,
5000,4,3,10,
6000,5,4,13,
7000,5,4,15,
8000,5,4,18,
9000,5,4,21,
10000,6,5,23,
11000,8,6,23,
12000,8,8,28,
13000,8,8,30,
14000,10,8,32,
15000,11,10,33,
16000,13,10,37,
17000,13,12,39,
18000,13,12,42,
19000,15,12,43,
20000,15,12,48,
21000,17,12,50,
22000,17,14,52,
23000,17,14,56,
24000,17,15,59,
25000,19,15,60,
26000,20,15,67,
27000,21,15,68,
28000,23,16,71,
29000,24,17,73,
30000,27,18,74,
31000,29,18,78,
32000,29,18,79,
33000,30,18,81,
34000,31,18,83,
35000,33,20,84,
36000,33,20,85,
37000,33,20,90,
38000,35,21,95,
39000,37,21,96,
40000,38,23,101,
41000,39,23,103,
42000,41,24,104,
43000,42,24,109,
44000,43,24,112,
45000,43,26,114,
46000,44,26,118,
47000,45,27,120,
48000,48,27,123,
49000,48,28,123,
50000,49,28,125,
51000,51,29,126,
52000,52,29,131,
53000,52,30,133,
54000,53,31,135,
55000,54,31,140,
56000,54,31,142,
57000,57,32,148,
58000,58,33,150,
59000,58,35,152,
60000,58,35,152,
61000,58,35,157,
62000,60,35,159,
63000,61,35,160,
64000,61,37,162,
65000,62,38,165,
66000,62,39,167,
67000,63,39,169,
68000,65,39,174,
69000,66,39,177,
70000,68,40,178,
71000,68,41,181,
72000,69,41,182,
73000,71,41,185,
74000,72,43,187,
75000,72,43,188,
76000,73,43,193,
77000,74,43,195,
78000,75,43,198,
79000,78,46,199,
80000,79,46,200,
81000,79,47,206,
82000,80,47,208,
83000,80,48,208,
84000,81,50,213,
85000,83,50,214,
86000,84,50,216,
87000,84,50,216,
88000,85,50,216,
89000,86,51,223,
90000,88,53,223,
91000,89,53,227,
92000,90,54,227,
93000,92,55,227,
94000,92,55,230,
95000,93,56,232,
96000,93,56,238,
97000,95,58,240,
98000,97,58,240,
99000,98,58,242,
100000,99,58,247,
