# clock,collected_food
1000,0,
2000,2,
3000,5,
4000,6,
5000,11,
6000,12,
7000,18,
8000,21,
9000,25,
10000,28,
11000,32,
12000,38,
13000,41,
14000,44,
15000,49,
16000,52,
17000,57,
18000,59,
19000,64,
20000,70,
21000,71,
22000,75,
23000,81,
24000,84,
25000,90,
26000,95,
27000,97,
28000,103,
29000,105,
30000,107,
31000,112,
32000,116,
33000,119,
34000,121,
35000,127,
36000,129,
37000,135,
38000,138,
39000,143,
40000,149,
41000,152,
42000,154,
43000,161,
44000,163,
45000,167,
46000,171,
47000,174,
48000,178,
49000,183,
50000,189,
51000,194,
52000,196,
53000,202,
54000,206,
55000,211,
56000,216,
57000,222,
58000,224,
59000,232,
60000,237,
61000,242,
62000,247,
63000,251,
64000,255,
65000,259,
66000,265,
67000,271,
68000,276,
69000,281,
70000,285,
71000,289,
72000,293,
73000,296,
74000,301,
75000,307,
76000,310,
77000,313,
78000,318,
79000,324,
80000,327,
81000,331,
82000,334,
83000,338,
84000,343,
85000,346,
86000,347,
87000,352,
88000,358,
89000,359,
90000,363,
91000,366,
92000,370,
93000,372,
94000,378,
95000,382,
96000,385,
97000,390,
98000,394,
99000,397,
100000,400,
