# clock,solitary,recruiter,recruitee
1000,0,0,0
2000,1,0,1
3000,1,0,1
4000,2,0,3
5000,2,1,3
6000,3,3,4
7000,3,3,5
8000,3,3,8
9000,4,5,9
10000,4,5,11
11000,4,6,13
12000,5,7,14
13000,5,8,16
14000,6,8,17
15000,7,8,19
16000,8,10,22
17000,9,10,23
18000,9,10,26
19000,9,12,27
20000,9,12,29
21000,10,13,30
22000,11,13,30
23000,13,14,31
24000,13,15,32
25000,14,16,34
26000,15,16,34
27000,16,17,37
28000,16,18,37
29000,17,18,39
30000,17,20,40
31000,18,20,41
32000,18,21,42
33000,19,21,43
34000,20,22,45
35000,20,23,48
36000,21,24,51
37000,23,25,51
38000,24,25,52
39000,26,25,52
40000,26,25,52
41000,28,28,53
42000,29,28,53
43000,29,29,55
44000,30,30,56
45000,32,30,56
46000,33,31,59
47000,34,32,62
48000,35,33,62
49000,36,33,62
50000,38,33,64
51000,38,33,66
52000,39,35,68
53000,39,35,69
54000,40,36,70
55000,41,37,70
56000,42,37,73
57000,42,38,75
58000,44,38,77
59000,44,40,77
60000,46,41,79
61000,46,41,83
62000,46,42,84
63000,46,43,85
64000,46,43,88
65000,46,43,91
66000,46,44,92
67000,46,46,93
68000,46,46,97
69000,46,46,97
70000,46,46,97
71000,46,48,98
72000,46,48,99
73000,48,48,100
74000,48,49,101
75000,49,49,102
76000,50,49,102
77000,50,49,104
78000,51,51,104
79000,51,52,106
80000,51,52,107
81000,51,52,108
82000,51,52,109
83000,51,54,111
84000,51,55,115
85000,51,55,116
86000,51,55,118
87000,51,55,120
88000,52,57,122
89000,52,57,124
90000,52,59,124
91000,52,59,124
92000,53,59,125
93000,53,60,128
94000,53,62,129
95000,53,63,131
96000,53,63,131
97000,54,63,132
98000,54,64,134
99000,54,64,136
100000,55,66,136
