# clock,collected_food
1000,0,
2000,1,
3000,7,
4000,9,
5000,23,
6000,26,
7000,30,
8000,35,
9000,40,
10000,44,
11000,49,
12000,55,
13000,58,
14000,64,
15000,70,
16000,76,
17000,76,
18000,81,
19000,88,
20000,90,
21000,95,
22000,99,
23000,100,
24000,106,
25000,110,
26000,112,
27000,117,
28000,123,
29000,127,
30000,130,
31000,133,
32000,137,
33000,143,
34000,150,
35000,154,
36000,157,
37000,162,
38000,165,
39000,167,
40000,175,
41000,181,
42000,186,
43000,194,
44000,197,
45000,203,
46000,209,
47000,213,
48000,217,
49000,220,
50000,225,
51000,232,
52000,236,
53000,243,
54000,246,
55000,251,
56000,255,
57000,256,
58000,260,
59000,269,
60000,272,
61000,275,
62000,281,
63000,286,
64000,291,
65000,295,
66000,302,
67000,305,
68000,311,
69000,317,
70000,321,
71000,329,
72000,334,
73000,336,
74000,343,
75000,348,
76000,355,
77000,360,
78000,364,
79000,371,
80000,372,
81000,377,
82000,379,
83000,385,
84000,388,
85000,395,
86000,399,
87000,403,
88000,403,
89000,405,
90000,411,
91000,415,
92000,416,
93000,420,
94000,424,
95000,428,
96000,435,
97000,438,
98000,443,
99000,446,
100000,452,
